ItemType	EffectType	Stat	Monster	Element	Status	MapStatus	Category
0* None	000: None	000: HP	abomasnow	bug	all_protect	blizzard	000: None
1* Beam	001: TypeStatBonus	001: Attack	abra	dark	aqua_ring	clouds_overhead	001: Physical
1* Branch	002: TypeSpeedBoost	002: Defense	absol	dragon	area_counter	cloudy	002: Magical
1* Card	003: TypeGroupWeaknessReduce	003: MAtk	accelgor	electric	belch	dark	003: Status
1* Claw	004: TypeBulldozer	004: MDef	aegislash	fairy	blinker	electric_terrain	
1* Dew	005: SuperCrit	005: Speed	aerodactyl	fighting	burn	fog	
1* Drool	006: NVECrit	006: HitRate	aggron	fire	charge	grassy_terrain	
1* Fang	007: Nontraitor	007: DodgeRate	aipom	flying	chasing	gravity	
1* Foam	008: WaterTerrain	008: Range	alakazam	ghost	confuse	hail	
1* Gasp	009: LavaTerrain		alcremie	grass	conversion	harsh_sun	
1* Hair	010: AllTerrain		alomomola	ground	conversion_2	heavy_rain	
1* Horn	011: Wallbreaker		altaria	ice	counter	inverse	
1* Leaf	012: GapFiller		amaura	none	crafty_shield	magic_room	
1* Mud	013: PPBoost		ambipom	normal	cursed	misty_terrain	
1* Root	014: DeepBreather		amoonguss	poison	decoy	move_ban	
1* Seed	015: PracticeSwinger		ampharos	psychic	destiny_bond	mysterious_distortion	
1* Shoot	016: MisfortuneMirror		annihilape	rock	detect	mysterious_force	
1* Song	017: CounterBasher		anorith	steel	disable	psychic_terrain	
1* Sweat	018: DoubleAttacker		appletun	water	electrified	rain	
1* Tail	019: MasterHurler		applin		embargo	sandstorm	
1* Thorn	020: AllyReviver		araquanid		encore	snow	
1* Tooth	021: AllyReviverBattle		arbok		endure	sunny	
1* Twig	022: PressurePlus		arboliva		enraged	trick_room	
1* Wing	023: StatusOnAttack		arcanine		exposed	wind	
2* Aroma	024: KnockbackOnAttack		arceus		fairy_lock	wonder_room	
2* Brooch	025: ThrowOnAttack		archen		fire_pledge		
2* Charm	026: SureHitAttacker		archeops		fire_spin		
2* Coin	027: SpecialAttacker		arctibax		flinch		
2* Crest	028: StatusImmune		arctovish		focus_energy		
2* Dust	029: StatDropImmune		arctozolt		follow_me		
2* Earring	030: SleepWalker		ariados		freeze		
2* Guard	031: ChargeWalker		armaldo		grass_pledge		
2* Heart	032: StairSensor		armarouge		grudge		
2* Jaw	033: AcuteSniffer		aromatisse		heal_block		
2* Jewel	034: MapSurveyor		aron		illusion		
2* Key	035: XRay		arrokuda		immobilized		
2* Medal	036: WeaknessPayback		articuno		in_love		
2* Ore	037: WarpPayback		audino		infestation		
2* Pebble	038: LungeAttack		aurorus		ingrain		
2* Ring	039: WideAttack		avalugg		invisible		
2* Rock	040: ExplosiveAttack		axew		kings_shield		
2* Seal	041: TrapBuster		azelf		leech_seed		
2* Shard	042: ExplosionGuard		azumarill		light_screen		
2* Tag	043: WandMaster		azurill		lucky_chant		
3* Apron	044: WandSpread		bagon		magic_coat		
